DateDetected,Length,InstreamMonitor
,60,SFSalmon
,67,SFSalmon
,55,SFSalmon
,69,SFSalmon
,55,SFSalmon
,65,SFSalmon
,63,SFSalmon
,56,SFSalmon
,54,SFSalmon
,70,SFSalmon
,69,SFSalmon
,64,SFSalmon
,62,SFSalmon
,62,SFSalmon
,56,SFSalmon
,65,SFSalmon
,67,SFSalmon
,64,SFSalmon
,58,SFSalmon
,66,SFSalmon
,65,SFSalmon
,73,SFSalmon
,58,SFSalmon
,69,SFSalmon
,60,SFSalmon
,58,SFSalmon
,68,SFSalmon
,64,SFSalmon
,60,SFSalmon
,73,SFSalmon
,68,SFSalmon
,64,SFSalmon
,69,SFSalmon
,69,SFSalmon
,56,SFSalmon
,72,SFSalmon
,63,SFSalmon
,61,SFSalmon
,62,SFSalmon
,67,SFSalmon
,65,SFSalmon
,57,SFSalmon
,64,SFSalmon
,61,SFSalmon
,60,SFSalmon
,56,SFSalmon
,62,SFSalmon
,57,SFSalmon
,69,SFSalmon
,64,SFSalmon
,55,SFSalmon
,71,SFSalmon
,62,SFSalmon
,65,SFSalmon
,60,SFSalmon
,60,SFSalmon
,64,SFSalmon
,70,SFSalmon
,62,SFSalmon
,62,SFSalmon
,71,SFSalmon
,60,SFSalmon
,61,SFSalmon
,69,SFSalmon
,61,SFSalmon
,74,SFSalmon
,59,SFSalmon
,61,SFSalmon
,66,SFSalmon
,65,SFSalmon
,60,SFSalmon
,61,SFSalmon
,65,SFSalmon
,64,SFSalmon
,61,SFSalmon
,73,SFSalmon
,66,SFSalmon
,64,SFSalmon
,62,SFSalmon
,68,SFSalmon
,63,SFSalmon
,68,SFSalmon
,64,SFSalmon
,55,SFSalmon
,57,SFSalmon
,60,SFSalmon
,63,SFSalmon
,67,SFSalmon
,75,SFSalmon
,64,SFSalmon
,60,SFSalmon
,60,SFSalmon
,71,SFSalmon
,65,SFSalmon
,63,SFSalmon
,57,SFSalmon
,61,SFSalmon
,61,SFSalmon
,58,SFSalmon
,58,SFSalmon
,59,SFSalmon
,72,SFSalmon
,68,SFSalmon
,68,SFSalmon
,57,SFSalmon
,54,SFSalmon
,63,SFSalmon
,69,SFSalmon
,57,SFSalmon
,56,SFSalmon
,57,SFSalmon
,60,SFSalmon
,65,SFSalmon
,59,SFSalmon
,62,SFSalmon
,59,SFSalmon
,56,SFSalmon
,61,SFSalmon
,63,SFSalmon
,60,SFSalmon
,57,SFSalmon
,55,SFSalmon
,57,SFSalmon
,69,SFSalmon
,56,SFSalmon
,56,SFSalmon
,62,SFSalmon
,55,SFSalmon
,56,SFSalmon
,62,SFSalmon
,59,SFSalmon
,56,SFSalmon
,66,SFSalmon
,57,SFSalmon
,62,SFSalmon
,64,SFSalmon
,60,SFSalmon
,61,SFSalmon
,57,SFSalmon
,60,SFSalmon
,57,SFSalmon
,65,SFSalmon
,59,SFSalmon
,61,SFSalmon
,58,SFSalmon
,65,SFSalmon
,60,SFSalmon
,58,SFSalmon
,67,SFSalmon
,54,SFSalmon
,60,SFSalmon
,60,SFSalmon
,55,SFSalmon
,58,SFSalmon
,58,SFSalmon
,56,SFSalmon
,56,SFSalmon
,55,SFSalmon
,55,SFSalmon
,65,SFSalmon
,69,SFSalmon
,56,SFSalmon
,64,SFSalmon
,60,SFSalmon
,56,SFSalmon
,59,SFSalmon
,66,SFSalmon
,59,SFSalmon
,55,SFSalmon
,55,SFSalmon
,62,SFSalmon
,70,SFSalmon
,55,SFSalmon
,59,SFSalmon
,61,SFSalmon
,58,SFSalmon
,57,SFSalmon
,59,SFSalmon
,63,SFSalmon
,70,SFSalmon
,57,SFSalmon
,57,SFSalmon
,55,SFSalmon
,56,SFSalmon
,63,SFSalmon
,64,SFSalmon
,60,SFSalmon
,55,SFSalmon
,56,SFSalmon
,66,SFSalmon
,65,SFSalmon
,59,SFSalmon
,59,SFSalmon
,56,SFSalmon
,62,SFSalmon
,60,SFSalmon
,60,SFSalmon
,62,SFSalmon
,62,SFSalmon
,58,SFSalmon
,60,SFSalmon
,55,SFSalmon
,73,SFSalmon
,60,SFSalmon
,59,SFSalmon
,61,SFSalmon
,55,SFSalmon
,62,SFSalmon
,56,SFSalmon
,59,SFSalmon
,59,SFSalmon
,55,SFSalmon
,59,SFSalmon
,55,SFSalmon
,61,SFSalmon
,63,SFSalmon
,61,SFSalmon
,62,SFSalmon
,56,SFSalmon
,56,SFSalmon
,61,SFSalmon
,62,SFSalmon
,56,SFSalmon
,63,SFSalmon
,61,SFSalmon
,62,SFSalmon
,54,SFSalmon
,56,SFSalmon
,58,SFSalmon
,59,SFSalmon
,59,SFSalmon
,59,SFSalmon
,66,SFSalmon
,57,SFSalmon
,58,SFSalmon
,59,SFSalmon
,62,SFSalmon
,59,SFSalmon
,58,SFSalmon
,64,SFSalmon
,61,SFSalmon
,59,SFSalmon
,61,SFSalmon
,62,SFSalmon
,71,SFSalmon
,64,SFSalmon
,63,SFSalmon
,58,SFSalmon
,67,SFSalmon
,60,SFSalmon
,55,SFSalmon
,58,SFSalmon
,60,SFSalmon
,64,SFSalmon
,58,SFSalmon
,60,SFSalmon
,70,SFSalmon
,57,SFSalmon
,73,SFSalmon
,65,SFSalmon
,57,SFSalmon
,62,SFSalmon
,60,SFSalmon
,59,SFSalmon
,67,SFSalmon
,60,SFSalmon
,62,SFSalmon
,58,SFSalmon
,65,SFSalmon
,60,SFSalmon
,59,SFSalmon
,65,SFSalmon
,63,SFSalmon
,61,SFSalmon
,56,SFSalmon
,64,SFSalmon
,55,SFSalmon
,64,SFSalmon
,55,SFSalmon
,63,SFSalmon
,60,SFSalmon
,57,SFSalmon
,68,SFSalmon
,59,SFSalmon
,59,SFSalmon
,63,SFSalmon
,64,SFSalmon
,61,SFSalmon
,61,SFSalmon
,59,SFSalmon
,62,SFSalmon
,55,SFSalmon
,55,SFSalmon
,61,SFSalmon
,59,SFSalmon
,71,SFSalmon
,56,SFSalmon
,62,SFSalmon
,58,SFSalmon
,60,SFSalmon
,67,SFSalmon
,59,SFSalmon
,95,SFSalmon
,58,SFSalmon
,60,SFSalmon
,67,SFSalmon
,57,SFSalmon
,57,SFSalmon
,63,SFSalmon
,55,SFSalmon
,58,SFSalmon
,60,SFSalmon
,56,SFSalmon
,61,SFSalmon
,60,SFSalmon
,69,SFSalmon
,55,SFSalmon
,55,SFSalmon
,68,SFSalmon
,60,SFSalmon
,55,SFSalmon
,57,SFSalmon
,68,SFSalmon
,56,SFSalmon
,62,SFSalmon
,66,SFSalmon
,61,SFSalmon
,67,SFSalmon
,63,SFSalmon
,56,SFSalmon
,55,SFSalmon
,66,SFSalmon
,58,SFSalmon
,61,SFSalmon
,61,SFSalmon
,62,SFSalmon
,69,SFSalmon
,67,SFSalmon
,59,SFSalmon
,72,SFSalmon
,61,SFSalmon
,55,SFSalmon
,56,SFSalmon
,60,SFSalmon
,63,SFSalmon
,62,SFSalmon
,69,SFSalmon
,59,SFSalmon
,60,SFSalmon
,70,SFSalmon
,55,SFSalmon
,55,SFSalmon
,61,SFSalmon
,56,SFSalmon
,54,SFSalmon
,62,SFSalmon
,67,SFSalmon
,59,SFSalmon
,55,SFSalmon
,64,SFSalmon
,70,SFSalmon
,62,SFSalmon
,59,SFSalmon
,77,SFSalmon
,61,SFSalmon
,55,SFSalmon
,66,SFSalmon
,58,SFSalmon
,55,SFSalmon
,64,SFSalmon
,55,SFSalmon
,69,SFSalmon
,61,SFSalmon
,61,SFSalmon
,61,SFSalmon
,73,SFSalmon
,55,SFSalmon
,69,SFSalmon
,62,SFSalmon
,69,SFSalmon
,63,SFSalmon
,60,SFSalmon
,58,SFSalmon
,57,SFSalmon
,62,SFSalmon
,66,SFSalmon
,62,SFSalmon
,60,SFSalmon
,64,SFSalmon
,69,SFSalmon
,60,SFSalmon
,62,SFSalmon
,66,SFSalmon
,69,SFSalmon
,58,SFSalmon
,60,SFSalmon
,61,SFSalmon
,57,SFSalmon
,59,SFSalmon
,60,SFSalmon
,59,SFSalmon
,67,SFSalmon
,69,SFSalmon
